average high,average low,average rain,Capital,Lat,Lng,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
"{'jan': 61.0, 'feb': 52.0, 'mar': 72.0, 'apr': 82.0, 'may': 86.0, 'jun': 87.0, 'jul': 86.0, 'aug': 79.0, 'sep': 71.0, 'oct': 54.0, 'nov': 62.0, 'dec': 51.0}","{'jan': 43.0, 'feb': 37.0, 'mar': 54.0, 'apr': 64.0, 'may': 69.0, 'jun': 70.0, 'jul': 67.0, 'aug': 60.0, 'sep': 51.0, 'oct': 37.0, 'nov': 43.0, 'dec': 35.0}","{'jan': 8.0, 'feb': 11.0, 'mar': 7.0, 'apr': 7.0, 'may': 10.0, 'jun': 12.0, 'jul': 10.0, 'aug': 9.0, 'sep': 10.0, 'oct': 10.0, 'nov': 12.0, 'dec': 11.0}",atlanta,33.749027000000005,-84.38822900000002,13,10403847.0,36.7,58700.0,31067.0,1528558.0,14.692238361444574
"{'jan': 38.0, 'feb': 45.0, 'mar': 55.0, 'apr': 62.0, 'may': 72.0, 'jun': 81.0, 'jul': 91.0, 'aug': 90.0, 'sep': 79.0, 'oct': 65.0, 'nov': 48.0, 'dec': 38.0}","{'jan': 25.0, 'feb': 28.0, 'mar': 34.0, 'apr': 39.0, 'may': 47.0, 'jun': 54.0, 'jul': 60.0, 'aug': 60.0, 'sep': 51.0, 'oct': 41.0, 'nov': 32.0, 'dec': 24.0}","{'jan': 10.0, 'feb': 9.0, 'mar': 10.0, 'apr': 8.0, 'may': 7.0, 'jun': 5.0, 'jul': 2.0, 'aug': 2.0, 'sep': 3.0, 'oct': 5.0, 'nov': 10.0, 'dec': 11.0}",boise,43.617775,-116.199722,16,1717750.0,36.4,55785.0,27970.0,221256.0,12.880570513753455
"{'jan': 35.0, 'feb': 40.0, 'mar': 52.0, 'apr': 65.0, 'may': 75.0, 'jun': 83.0, 'jul': 86.0, 'aug': 85.0, 'sep': 79.0, 'oct': 66.0, 'nov': 52.0, 'dec': 38.0}","{'jan': 19.0, 'feb': 23.0, 'mar': 32.0, 'apr': 42.0, 'may': 53.0, 'jun': 62.0, 'jul': 65.0, 'aug': 64.0, 'sep': 55.0, 'oct': 44.0, 'nov': 34.0, 'dec': 22.0}","{'jan': 1.82, 'feb': 1.81, 'mar': 2.63, 'apr': 3.51, 'may': 4.24, 'jun': 4.46, 'jul': 3.94, 'aug': 3.24, 'sep': 2.9, 'oct': 3.15, 'nov': 3.21, 'dec': 2.52}",springfield,39.798363,-89.654961,17,12770631.0,38.1,65886.0,36038.0,1557873.0,12.198872553752437
"{'jan': 36.0, 'feb': 40.0, 'mar': 52.0, 'apr': 63.0, 'may': 73.0, 'jun': 82.0, 'jul': 85.0, 'aug': 84.0, 'sep': 78.0, 'oct': 65.0, 'nov': 52.0, 'dec': 39.0}","{'jan': 20.0, 'feb': 24.0, 'mar': 33.0, 'apr': 43.0, 'may': 53.0, 'jun': 62.0, 'jul': 66.0, 'aug': 64.0, 'sep': 56.0, 'oct': 45.0, 'nov': 35.0, 'dec': 24.0}","{'jan': 12.0, 'feb': 10.0, 'mar': 11.0, 'apr': 12.0, 'may': 13.0, 'jun': 11.0, 'jul': 10.0, 'aug': 8.0, 'sep': 8.0, 'oct': 8.0, 'nov': 10.0, 'dec': 12.0}",indianapolis,39.768623,-86.162643,18,6665703.0,37.7,56303.0,29777.0,867996.0,13.021822304414105
"{'jan': 31.0, 'feb': 36.0, 'mar': 49.0, 'apr': 62.0, 'may': 72.0, 'jun': 82.0, 'jul': 86.0, 'aug': 84.0, 'sep': 76.0, 'oct': 63.0, 'nov': 48.0, 'dec': 34.0}","{'jan': 14.0, 'feb': 19.0, 'mar': 30.0, 'apr': 41.0, 'may': 52.0, 'jun': 62.0, 'jul': 67.0, 'aug': 65.0, 'sep': 55.0, 'oct': 43.0, 'nov': 31.0, 'dec': 18.0}","{'jan': 7.0, 'feb': 7.0, 'mar': 9.0, 'apr': 11.0, 'may': 12.0, 'jun': 11.0, 'jul': 10.0, 'aug': 9.0, 'sep': 8.0, 'oct': 8.0, 'nov': 8.0, 'dec': 8.0}",des_moines,41.591087,-93.603729,19,3139508.0,38.2,60523.0,32176.0,348122.0,11.088425320145703
"{'jan': 40.0, 'feb': 45.0, 'mar': 56.0, 'apr': 67.0, 'may': 76.0, 'jun': 85.0, 'jul': 89.0, 'aug': 89.0, 'sep': 80.0, 'oct': 68.0, 'nov': 55.0, 'dec': 42.0}","{'jan': 20.0, 'feb': 24.0, 'mar': 33.0, 'apr': 44.0, 'may': 54.0, 'jun': 64.0, 'jul': 68.0, 'aug': 66.0, 'sep': 56.0, 'oct': 45.0, 'nov': 33.0, 'dec': 22.0}","{'jan': 0.86, 'feb': 1.32, 'mar': 2.49, 'apr': 3.53, 'may': 4.91, 'jun': 5.4, 'jul': 3.82, 'aug': 4.24, 'sep': 3.66, 'oct': 3.03, 'nov': 1.85, 'dec': 1.35}",topeka,39.048190999999996,-95.67795600000001,20,2910652.0,36.7,59597.0,31814.0,337739.0,11.603551369246476
"{'jan': 40.0, 'feb': 45.0, 'mar': 55.0, 'apr': 66.0, 'may': 75.0, 'jun': 83.0, 'jul': 87.0, 'aug': 86.0, 'sep': 79.0, 'oct': 68.0, 'nov': 55.0, 'dec': 44.0}","{'jan': 21.0, 'feb': 23.0, 'mar': 31.0, 'apr': 39.0, 'may': 49.0, 'jun': 59.0, 'jul': 63.0, 'aug': 62.0, 'sep': 55.0, 'oct': 42.0, 'nov': 34.0, 'dec': 26.0}","{'jan': 3.15, 'feb': 3.07, 'mar': 4.06, 'apr': 3.66, 'may': 4.61, 'jun': 4.41, 'jul': 4.17, 'aug': 3.58, 'sep': 3.15, 'oct': 2.68, 'nov': 3.35, 'dec': 3.7}",frankfort,38.186721999999996,-84.875374,21,4449052.0,38.9,50589.0,28178.0,747010.0,16.790318476835065
"{'jan': 62.0, 'feb': 66.0, 'mar': 73.0, 'apr': 79.0, 'may': 86.0, 'jun': 91.0, 'jul': 92.0, 'aug': 92.0, 'sep': 89.0, 'oct': 81.0, 'nov': 72.0, 'dec': 64.0}","{'jan': 41.0, 'feb': 44.0, 'mar': 50.0, 'apr': 57.0, 'may': 65.0, 'jun': 71.0, 'jul': 74.0, 'aug': 73.0, 'sep': 69.0, 'oct': 58.0, 'nov': 49.0, 'dec': 43.0}","{'jan': 5.72, 'feb': 5.04, 'mar': 4.41, 'apr': 4.46, 'may': 4.89, 'jun': 6.41, 'jul': 4.96, 'aug': 5.82, 'sep': 4.54, 'oct': 4.7, 'nov': 4.1, 'dec': 5.6}",baton_rouge,30.457069,-91.187393,22,4664362.0,36.9,49469.0,27923.0,871467.0,18.68351984687295
"{'jan': 28.0, 'feb': 32.0, 'mar': 40.0, 'apr': 53.0, 'may': 65.0, 'jun': 74.0, 'jul': 79.0, 'aug': 78.0, 'sep': 70.0, 'oct': 57.0, 'nov': 45.0, 'dec': 33.0}","{'jan': 11.0, 'feb': 15.0, 'mar': 23.0, 'apr': 35.0, 'may': 45.0, 'jun': 54.0, 'jul': 60.0, 'aug': 58.0, 'sep': 51.0, 'oct': 40.0, 'nov': 31.0, 'dec': 19.0}","{'jan': 2.61, 'feb': 2.43, 'mar': 3.37, 'apr': 3.79, 'may': 3.69, 'jun': 3.56, 'jul': 3.42, 'aug': 3.31, 'sep': 3.74, 'oct': 4.36, 'nov': 4.36, 'dec': 3.24}",augusta,44.307167,-69.781693,23,1335492.0,44.7,57918.0,32637.0,153131.0,11.466261123241472
"{'jan': 44.0, 'feb': 48.0, 'mar': 57.0, 'apr': 68.0, 'may': 77.0, 'jun': 86.0, 'jul': 89.0, 'aug': 87.0, 'sep': 81.0, 'oct': 69.0, 'nov': 59.0, 'dec': 48.0}","{'jan': 29.0, 'feb': 31.0, 'mar': 38.0, 'apr': 47.0, 'may': 57.0, 'jun': 67.0, 'jul': 71.0, 'aug': 71.0, 'sep': 64.0, 'oct': 52.0, 'nov': 42.0, 'dec': 33.0}","{'jan': 3.32, 'feb': 2.94, 'mar': 4.53, 'apr': 3.66, 'may': 4.2, 'jun': 4.17, 'jul': 4.56, 'aug': 3.88, 'sep': 4.76, 'oct': 3.89, 'nov': 3.8, 'dec': 3.56}",annapolis,38.978764,-76.490936,24,6018848.0,38.7,84805.0,42122.0,539991.0,8.971667003386695
